Batch Status,Cycle End Time,DataLabel,Program Number
Emergency Failure,2020-02-21 09:53:00,198,2
Emergency Failure,2020-02-21 11:41:00,199,2
Emergency Failure,2020-02-21 13:10:00,200,2
Emergency Failure,2020-02-21 14:53:00,201,2
Maintenance,2020-02-21 17:08:00,202,2
Emergency Failure,2020-02-22 01:45:00,203,2
Emergency Failure,2020-02-22 03:57:00,204,2
Emergency Failure,2020-02-22 09:39:00,205,2
Maintenance,2020-02-22 10:44:00,206,2
Emergency Failure,2020-02-22 11:37:00,207,2
Maintenance,2020-02-22 13:17:00,208,2
Maintenance,2020-02-22 14:18:00,209,2
Maintenance,2020-02-22 17:44:00,210,1
OK,2020-02-22 18:45:00,211,12
FAILED,2020-02-22 20:56:00,212,17
Emergency Failure,2020-02-23 10:18:00,213,1
Maintenance,2020-02-23 12:35:00,214,2
Maintenance,2020-02-23 14:01:00,215,1
OK,2020-02-23 16:46:00,216,11
FAILED,2020-02-23 18:50:00,217,17
Maintenance,2020-02-24 07:36:00,218,1
OK,2020-02-24 08:34:00,219,12
FAILED,2020-02-24 11:34:00,220,17
OK,2020-02-24 13:51:00,221,17
OK,2020-02-24 16:24:00,222,17
OK,2020-02-24 18:52:00,223,17
Maintenance,2020-02-25 01:37:00,224,1
OK,2020-02-25 02:41:00,225,12
FAILED,2020-02-25 04:57:00,226,8
FAILED,2020-02-25 09:47:00,227,8
OK,2020-02-25 12:07:00,228,17
FAILED,2020-02-25 22:10:00,229,17
Maintenance,2020-02-26 12:23:00,230,2
Maintenance,2020-02-26 14:24:00,231,1
OK,2020-02-26 15:29:00,232,12
FAILED,2020-02-26 17:23:00,233,17
FAILED,2020-02-26 19:09:00,234,11
OK,2020-02-26 20:38:00,235,11
Maintenance,2020-02-27 04:01:00,236,1
OK,2020-02-27 04:53:00,237,12
OK,2020-02-27 07:07:00,238,17
Maintenance,2020-02-27 10:44:00,239,2
Maintenance,2020-02-27 11:36:00,240,1
OK,2020-02-27 12:53:00,241,12
OK,2020-02-27 16:12:00,242,17
Maintenance,2020-02-28 09:10:00,243,2
Maintenance,2020-02-28 09:58:00,244,1
OK,2020-02-28 10:58:00,245,12
OK,2020-02-28 15:36:00,246,17
OK,2020-02-28 17:52:00,247,17
Maintenance,2020-02-29 08:18:00,248,2
Maintenance,2020-02-29 08:57:00,249,1
OK,2020-02-29 09:52:00,250,12
OK,2020-02-29 14:07:00,251,17
OK,2020-02-29 16:48:00,252,17
OK,2020-02-29 19:24:00,253,17
OK,2020-02-29 21:57:00,254,17
OK,2020-03-01 10:45:00,255,12
Maintenance,2020-03-02 10:12:00,256,1
OK,2020-03-02 17:02:00,257,12
OK,2020-03-03 15:25:00,258,12
OK,2020-03-04 12:50:00,259,12
OK,2020-03-05 13:28:00,260,12
OK,2020-03-06 19:14:00,261,17
Maintenance,2020-03-08 17:54:00,262,1
OK,2020-03-08 19:00:00,263,12
OK,2020-03-08 22:26:00,264,17
OK,2020-03-09 08:17:00,265,12
OK,2020-03-09 14:17:00,266,14
OK,2020-03-09 17:59:00,267,14
OK,2020-03-10 10:04:00,268,12
FAILED,2020-03-10 11:57:00,269,8
FAILED,2020-03-10 12:42:00,270,8
OK,2020-03-10 14:06:00,271,8
Maintenance,2020-03-14 16:47:00,272,2
Maintenance,2020-03-14 17:33:00,273,1
OK,2020-03-14 18:27:00,274,12
OK,2020-03-14 22:30:00,275,17
OK,2020-03-15 01:43:00,276,17
OK,2020-03-15 11:42:00,277,17
Maintenance,2020-03-16 09:57:00,278,1
OK,2020-03-16 10:54:00,279,12
OK,2020-03-17 10:10:00,280,12
OK,2020-03-17 11:48:00,281,11
OK,2020-03-17 13:30:00,282,8
OK,2020-03-18 12:05:00,283,12
OK,2020-03-23 10:01:00,284,11
OK,2020-03-23 13:08:00,285,17
Maintenance,2020-03-23 13:54:00,286,1
OK,2020-03-24 02:07:00,287,17
OK,2020-03-24 04:17:00,288,8
Maintenance,2020-03-26 04:17:00,289,2
Maintenance,2020-03-26 04:53:00,290,1
OK,2020-03-26 05:43:00,291,12
OK,2020-03-26 13:33:00,292,17
OK,2020-03-26 16:21:00,293,17
OK,2020-03-26 23:46:00,294,11
OK,2020-03-27 04:23:00,295,17
FAILED,2020-03-28 08:05:00,296,11
OK,2020-03-28 09:30:00,297,11
OK,2020-03-28 12:31:00,298,17
Maintenance,2020-03-28 17:24:00,299,1
OK,2020-03-28 18:19:00,300,12
OK,2020-03-28 19:32:00,301,12
OK,2020-03-28 20:16:00,302,12
OK,2020-03-28 22:40:00,303,17
OK,2020-03-29 01:08:00,304,17
OK,2020-03-29 03:26:00,305,17
OK,2020-03-29 05:38:00,306,17
Maintenance,2020-03-29 06:53:00,307,2
Maintenance,2020-03-29 08:24:00,308,1
OK,2020-03-29 09:08:00,309,12
OK,2020-03-29 12:59:00,310,17
OK,2020-03-29 15:19:00,311,17
OK,2020-03-29 17:41:00,312,17
OK,2020-03-29 20:59:00,313,17
OK,2020-03-29 23:06:00,314,17
OK,2020-03-30 01:29:00,315,17
Maintenance,2020-03-30 04:21:00,316,2
OK,2020-03-30 05:57:00,317,12
OK,2020-03-30 12:15:00,318,17
OK,2020-03-30 15:41:00,319,17
OK,2020-03-30 19:03:00,320,17
Maintenance,2020-03-31 02:22:00,321,2
Maintenance,2020-03-31 03:05:00,322,1
OK,2020-03-31 03:58:00,323,12
OK,2020-03-31 05:23:00,324,8
OK,2020-03-31 09:06:00,325,17
OK,2020-03-31 13:56:00,326,17
OK,2020-03-31 16:46:00,327,17
OK,2020-03-31 19:29:00,328,17
OK,2020-03-31 21:56:00,329,17
OK,2020-04-01 00:41:00,330,17
Maintenance,2020-04-01 03:35:00,331,2
Maintenance,2020-04-01 04:19:00,332,1
OK,2020-04-01 05:15:00,333,12
OK,2020-04-01 06:40:00,334,8
OK,2020-04-01 09:45:00,335,17
OK,2020-04-01 11:59:00,336,17
OK,2020-04-01 14:10:00,337,17
Maintenance,2020-04-02 07:40:00,338,2
Maintenance,2020-04-02 08:18:00,339,1
OK,2020-04-02 10:22:00,340,12
OK,2020-04-02 13:09:00,341,17
OK,2020-04-02 15:39:00,342,17
OK,2020-04-02 18:10:00,343,17
Maintenance,2020-04-03 09:00:00,344,2
Maintenance,2020-04-03 09:45:00,345,1
OK,2020-04-03 10:38:00,346,12
FAILED,2020-04-03 11:50:00,347,11
OK,2020-04-03 13:09:00,348,11
OK,2020-04-03 14:48:00,349,11
Maintenance,2020-04-06 07:35:00,350,2
Maintenance,2020-04-06 08:19:00,351,1
OK,2020-04-06 09:16:00,352,12
OK,2020-04-06 13:21:00,353,17
OK,2020-04-06 18:31:00,354,17
Maintenance,2020-04-07 07:23:00,355,2
Maintenance,2020-04-07 08:07:00,356,1
OK,2020-04-07 08:58:00,357,12
OK,2020-04-07 14:46:00,358,17
FAILED,2020-04-07 18:14:00,359,17
OK,2020-04-07 20:29:00,360,17
OK,2020-04-07 22:03:00,361,8
Maintenance,2020-04-08 08:26:00,362,2
Maintenance,2020-04-08 09:05:00,363,1
OK,2020-04-08 10:20:00,364,12
OK,2020-04-08 15:22:00,365,17
OK,2020-04-08 21:00:00,366,17
Maintenance,2020-04-09 07:28:00,367,2
Maintenance,2020-04-09 08:05:00,368,1
OK,2020-04-09 08:55:00,369,12
OK,2020-04-09 15:41:00,370,17
OK,2020-04-09 18:36:00,371,17
Maintenance,2020-04-13 07:45:00,372,1
OK,2020-04-14 08:29:00,373,12
OK,2020-04-14 12:38:00,374,12
Maintenance,2020-04-15 12:35:00,375,2
Maintenance,2020-04-20 07:16:00,376,1
Maintenance,2020-04-20 20:41:00,377,2
Maintenance,2020-04-21 03:24:00,378,2
Maintenance,2020-04-21 04:03:00,379,1
OK,2020-04-21 04:59:00,380,12
OK,2020-04-21 06:41:00,381,12
OK,2020-04-21 13:12:00,382,17
OK,2020-04-21 16:12:00,383,17
OK,2020-04-21 18:18:00,384,17
OK,2020-04-21 19:46:00,385,8
Maintenance,2020-04-22 01:21:00,386,2
Maintenance,2020-04-22 01:57:00,387,1
OK,2020-04-22 07:34:00,388,17
OK,2020-04-22 12:52:00,389,17
Maintenance,2020-04-23 03:19:00,390,2
Maintenance,2020-04-23 10:16:00,391,1
OK,2020-04-23 11:13:00,392,12
FAILED,2020-04-23 22:20:00,393,16
Maintenance,2020-04-24 01:05:00,394,2
Maintenance,2020-04-24 01:51:00,395,1
OK,2020-04-24 03:31:00,396,12
OK,2020-04-24 08:16:00,397,16
OK,2020-04-24 13:48:00,398,16
OK,2020-04-24 22:46:00,399,16
Maintenance,2020-04-25 01:05:00,400,2
Maintenance,2020-04-25 01:52:00,401,1
OK,2020-04-25 02:52:00,402,12
OK,2020-04-25 09:37:00,403,17
OK,2020-04-25 12:20:00,404,17
OK,2020-04-25 15:06:00,405,17
OK,2020-04-25 17:22:00,406,17
OK,2020-04-25 19:31:00,407,17
OK,2020-04-25 21:35:00,408,17
Maintenance,2020-04-26 02:29:00,409,2
Maintenance,2020-04-26 03:08:00,410,1
OK,2020-04-26 04:09:00,411,12
OK,2020-04-26 07:46:00,412,17
OK,2020-04-26 10:37:00,413,17
OK,2020-04-26 12:45:00,414,17
OK,2020-04-26 14:56:00,415,17
OK,2020-04-26 17:09:00,416,16
OK,2020-04-26 19:51:00,417,16
Maintenance,2020-04-27 02:10:00,418,2
Maintenance,2020-04-27 02:49:00,419,1
OK,2020-04-27 03:49:00,420,12
FAILED,2020-04-27 06:54:00,421,17
OK,2020-04-27 20:29:00,422,16
Maintenance,2020-04-28 02:42:00,423,2
Maintenance,2020-04-28 03:23:00,424,1
OK,2020-04-28 04:22:00,425,12
OK,2020-04-28 08:18:00,426,17
OK,2020-04-28 10:37:00,427,17
OK,2020-04-28 12:52:00,428,17
OK,2020-04-28 15:28:00,429,17
OK,2020-04-28 17:52:00,430,17
OK,2020-04-28 20:06:00,431,17
OK,2020-04-28 22:17:00,432,16
OK,2020-04-28 23:55:00,433,8
Maintenance,2020-04-29 02:31:00,434,2
Maintenance,2020-04-29 03:15:00,435,1
OK,2020-04-29 04:29:00,436,12
OK,2020-04-29 07:26:00,437,17
OK,2020-04-29 11:22:00,438,17
OK,2020-04-29 14:10:00,439,17
OK,2020-04-29 16:36:00,440,17
OK,2020-04-29 19:13:00,441,17
OK,2020-04-29 22:08:00,442,16
Maintenance,2020-04-30 02:33:00,443,2
Maintenance,2020-04-30 03:14:00,444,1
OK,2020-04-30 04:13:00,445,12
OK,2020-04-30 05:04:00,446,12
OK,2020-04-30 07:39:00,447,17
OK,2020-04-30 10:35:00,448,17
OK,2020-04-30 12:41:00,449,17
OK,2020-04-30 15:03:00,450,17
OK,2020-04-30 17:44:00,451,17
OK,2020-04-30 19:55:00,452,17
FAILED,2020-04-30 23:10:00,453,16
OK,2020-05-01 01:27:00,454,16
Maintenance,2020-05-01 04:13:00,455,1
OK,2020-05-01 04:59:00,456,12
OK,2020-05-01 07:31:00,457,17
OK,2020-05-01 10:27:00,458,17
OK,2020-05-01 12:46:00,459,17
OK,2020-05-01 15:04:00,460,17
OK,2020-05-01 17:31:00,461,17
OK,2020-05-01 19:58:00,462,17
OK,2020-05-01 21:56:00,463,8
Maintenance,2020-05-02 03:19:00,464,2
Maintenance,2020-05-02 03:59:00,465,1
OK,2020-05-02 04:48:00,466,12
OK,2020-05-02 08:07:00,467,17
OK,2020-05-02 10:46:00,468,17
OK,2020-05-02 13:09:00,469,17
Maintenance,2020-05-04 07:22:00,470,2
Maintenance,2020-05-04 08:10:00,471,1
OK,2020-05-04 12:48:00,472,12
OK,2020-05-04 15:24:00,473,16
OK,2020-05-04 18:17:00,474,17
Maintenance,2020-05-05 07:58:00,475,1
OK,2020-05-05 08:52:00,476,12
OK,2020-05-05 14:15:00,477,17
OK,2020-05-05 17:00:00,478,17
OK,2020-05-05 19:44:00,479,17
OK,2020-05-05 21:31:00,480,8
OK,2020-05-05 23:48:00,481,16
Maintenance,2020-05-06 10:34:00,482,2
Maintenance,2020-05-06 11:14:00,483,1
OK,2020-05-06 12:47:00,484,12
OK,2020-05-06 15:22:00,485,8
OK,2020-05-06 17:11:00,486,8
OK,2020-05-06 19:04:00,487,8
OK,2020-05-06 20:46:00,488,8
Maintenance,2020-05-07 07:30:00,489,2
Maintenance,2020-05-07 08:17:00,490,1
OK,2020-05-07 09:18:00,491,12
FAILED,2020-05-07 11:35:00,492,16
FAILED,2020-05-07 13:29:00,493,16
OK,2020-05-07 16:44:00,494,16
FAILED,2020-05-07 18:07:00,495,11
OK,2020-05-07 19:27:00,496,11
OK,2020-05-07 22:25:00,497,16
OK,2020-05-08 09:34:00,498,12
OK,2020-05-08 11:40:00,499,16
OK,2020-05-08 16:48:00,500,16
OK,2020-05-08 22:14:00,501,16
OK,2020-05-09 08:41:00,502,12
OK,2020-05-09 14:33:00,503,16
Maintenance,2020-05-11 10:52:00,504,1
OK,2020-05-11 11:50:00,505,12
OK,2020-05-11 17:21:00,506,16
OK,2020-05-12 08:24:00,507,12
OK,2020-05-12 09:55:00,508,8
OK,2020-05-12 12:45:00,509,8
OK,2020-05-12 21:38:00,510,16
Maintenance,2020-05-13 07:27:00,511,2
Maintenance,2020-05-13 08:12:00,512,1
OK,2020-05-13 09:06:00,513,12
OK,2020-05-13 09:45:00,514,12
OK,2020-05-13 11:03:00,515,12
OK,2020-05-13 13:24:00,516,17
OK,2020-05-13 16:04:00,517,17
OK,2020-05-13 18:25:00,518,17
OK,2020-05-13 20:46:00,519,16
OK,2020-05-13 23:14:00,520,16
Maintenance,2020-05-14 08:01:00,521,2
Maintenance,2020-05-14 08:39:00,522,1
OK,2020-05-14 09:25:00,523,12
OK,2020-05-14 12:55:00,524,17
OK,2020-05-14 15:14:00,525,17
OK,2020-05-14 17:58:00,526,17
OK,2020-05-14 22:01:00,527,16
Maintenance,2020-05-15 07:43:00,528,2
Maintenance,2020-05-15 08:17:00,529,1
OK,2020-05-15 09:05:00,530,12
OK,2020-05-15 19:24:00,531,16
OK,2020-05-15 22:20:00,532,16
Maintenance,2020-05-16 07:47:00,533,2
Maintenance,2020-05-16 08:22:00,534,1
OK,2020-05-16 09:09:00,535,12
OK,2020-05-16 12:26:00,536,17
OK,2020-05-16 14:54:00,537,17
OK,2020-05-16 17:28:00,538,17
OK,2020-05-16 19:51:00,539,17
Maintenance,2020-05-17 08:07:00,540,2
Maintenance,2020-05-17 08:42:00,541,1
OK,2020-05-17 09:29:00,542,12
OK,2020-05-17 11:50:00,543,17
OK,2020-05-17 13:56:00,544,17
OK,2020-05-17 16:11:00,545,16
OK,2020-05-17 18:48:00,546,16
Maintenance,2020-05-18 08:17:00,547,2
Maintenance,2020-05-18 08:54:00,548,1
OK,2020-05-18 09:51:00,549,12
FAILED,2020-05-18 10:44:00,550,11
OK,2020-05-18 11:57:00,551,11
OK,2020-05-18 14:31:00,552,16
OK,2020-05-18 16:48:00,553,16
OK,2020-05-19 07:59:00,554,12
OK,2020-05-19 09:37:00,555,8
OK,2020-05-20 09:20:00,556,12
OK,2020-05-20 14:15:00,557,16
OK,2020-05-20 17:31:00,558,16
OK,2020-05-21 15:27:00,559,12
OK,2020-05-21 19:05:00,560,16
OK,2020-05-22 10:36:00,561,12
OK,2020-05-22 16:59:00,562,16
OK,2020-05-22 20:09:00,563,16
OK,2020-05-23 07:46:00,564,12
OK,2020-05-23 14:51:00,565,16
OK,2020-05-23 20:18:00,566,16
Maintenance,2020-05-25 15:53:00,567,1
OK,2020-05-25 16:44:00,568,12
OK,2020-05-25 19:11:00,569,16
OK,2020-05-26 15:58:00,570,12
OK,2020-05-26 17:33:00,571,8
OK,2020-05-26 20:54:00,572,16
OK,2020-05-27 10:39:00,573,12
OK,2020-05-27 13:32:00,574,16
OK,2020-05-27 20:38:00,575,16
OK,2020-05-28 08:13:00,576,12
OK,2020-05-28 14:07:00,577,16
OK,2020-05-29 08:04:00,578,12
OK,2020-05-29 14:03:00,579,16
OK,2020-05-29 18:02:00,580,16
OK,2020-05-29 20:40:00,581,17
OK,2020-05-30 08:06:00,582,12
OK,2020-05-30 11:27:00,583,16
OK,2020-05-30 16:03:00,584,17
OK,2020-05-30 18:31:00,585,17
OK,2020-05-30 21:07:00,586,16
OK,2020-05-30 23:38:00,587,16
OK,2020-05-31 04:09:00,588,12
OK,2020-05-31 08:00:00,589,17
OK,2020-05-31 16:47:00,590,16
Maintenance,2020-06-01 12:05:00,591,1
OK,2020-06-01 12:58:00,592,12
OK,2020-06-01 19:07:00,593,16
OK,2020-06-02 07:30:00,594,12
OK,2020-06-02 09:01:00,595,8
OK,2020-06-02 12:56:00,596,16
OK,2020-06-02 15:32:00,597,16
OK,2020-06-02 21:42:00,598,17
OK,2020-06-03 00:42:00,599,17
OK,2020-06-03 07:44:00,600,12
OK,2020-06-03 11:17:00,601,16
OK,2020-06-03 14:51:00,602,16
OK,2020-06-03 20:29:00,603,16
OK,2020-06-04 08:52:00,604,12
OK,2020-06-04 14:33:00,605,16
OK,2020-06-04 22:12:00,606,16
OK,2020-06-05 07:05:00,607,12
OK,2020-06-05 17:28:00,608,16
OK,2020-06-06 10:02:00,609,12
OK,2020-06-06 12:21:00,610,17
OK,2020-06-07 15:19:00,611,16
OK,2020-06-07 17:50:00,612,16
Maintenance,2020-06-08 07:30:00,613,1
OK,2020-06-08 10:01:00,614,12
OK,2020-06-08 13:14:00,615,16
OK,2020-06-08 17:36:00,616,17
OK,2020-06-09 09:43:00,617,12
OK,2020-06-09 11:10:00,618,8
OK,2020-06-09 18:10:00,619,16
OK,2020-06-10 00:29:00,620,16
OK,2020-06-10 08:34:00,621,12
OK,2020-06-10 20:24:00,622,16
OK,2020-06-11 08:21:00,623,12
OK,2020-06-11 18:53:00,624,16
OK,2020-06-11 21:20:00,625,17
OK,2020-06-12 00:17:00,626,16
OK,2020-06-12 12:48:00,627,17
OK,2020-06-12 19:14:00,628,16
OK,2020-06-12 21:54:00,629,16
OK,2020-06-13 09:19:00,630,12
OK,2020-06-13 14:04:00,631,17
OK,2020-06-13 17:09:00,632,16
OK,2020-06-13 20:22:00,633,16
OK,2020-06-14 08:46:00,634,12
OK,2020-06-14 11:08:00,635,16
OK,2020-06-15 12:02:00,636,12
OK,2020-06-15 14:33:00,637,16
OK,2020-06-15 20:31:00,638,16
OK,2020-06-15 22:53:00,639,16
OK,2020-06-16 08:29:00,640,12
OK,2020-06-16 10:02:00,641,8
OK,2020-06-16 12:25:00,642,17
OK,2020-06-16 20:29:00,643,16
OK,2020-06-16 22:53:00,644,16
OK,2020-06-17 08:33:00,645,12
OK,2020-06-17 14:57:00,646,16
OK,2020-06-18 10:20:00,647,12
OK,2020-06-18 13:21:00,648,16
OK,2020-06-18 17:17:00,649,17
OK,2020-06-19 09:50:00,650,12
OK,2020-06-19 12:56:00,651,16
OK,2020-06-19 17:36:00,652,16
OK,2020-06-19 19:52:00,653,16
OK,2020-06-20 10:07:00,654,12
OK,2020-06-20 12:59:00,655,17
OK,2020-06-20 15:54:00,656,17
OK,2020-06-20 19:20:00,657,16
OK,2020-06-21 10:14:00,658,12
OK,2020-06-21 14:17:00,659,17
OK,2020-06-21 17:26:00,660,16
OK,2020-06-21 20:35:00,661,16
OK,2020-06-22 08:31:00,662,12
Maintenance,2020-06-22 10:31:00,663,1
OK,2020-06-22 14:10:00,664,17
OK,2020-06-22 17:25:00,665,16
OK,2020-06-22 19:57:00,666,16
OK,2020-06-23 08:10:00,667,12
