DataLabel,TE1,TE2,TE3,TE4,Program Number,Batch Status
281,122.08360655737704,122.2811475409836,122.25655737704918,122.24426229508197,11,OK
282,121.58626373626375,121.84670329670331,121.78681318681319,121.78351648351648,8,OK
283,122.05645161290323,122.25806451612904,122.24354838709678,122.22741935483872,12,OK
284,122.07049180327868,122.30573770491803,122.27295081967212,122.26803278688524,11,OK
285,122.08076923076923,122.27692307692307,122.27967032967032,122.25219780219781,17,OK
286,,,,,1,Maintenance
287,122.04725274725274,122.2923076923077,122.27417582417581,122.25989010989011,17,OK
288,121.52087912087912,121.83021978021979,121.84285714285716,121.79285714285714,8,OK
289,,,,,2,Maintenance
290,,,,,1,Maintenance
291,122.05,122.27580645161291,122.25322580645161,122.24677419354839,12,OK
292,122.07087912087911,122.31703296703297,122.28351648351648,122.28021978021978,17,OK
293,122.02307692307693,122.28791208791208,122.28571428571429,122.27967032967032,17,OK
294,122.04262295081966,122.4860655737705,122.42540983606557,122.39508196721312,11,OK
295,122.02472527472527,122.28406593406594,122.28296703296704,122.27967032967032,17,OK
296,72.43333333333334,101.14999999999999,104.75,105.45,11,FAILED
297,122.03360655737706,122.60081967213114,122.4844262295082,122.45737704918034,11,OK
298,122.02692307692308,122.28131868131868,122.27692307692307,122.26703296703296,17,OK
299,,,,,1,Maintenance
300,122.01129032258065,122.24516129032257,122.25161290322582,122.23709677419355,12,OK
301,122.03870967741935,122.24354838709677,122.24193548387096,122.23870967741935,12,OK
302,122.02258064516128,122.22419354838709,122.22419354838709,122.21935483870968,12,OK
303,122.06978021978023,122.2923076923077,122.27747252747253,122.2686813186813,17,OK
304,122.06648351648352,122.27417582417581,122.27692307692307,122.26758241758242,17,OK
305,122.06593406593407,122.27747252747253,122.27582417582418,122.26483516483516,17,OK
306,122.06593406593407,122.27417582417581,122.27857142857144,122.26868131868133,17,OK
307,,,,,2,Maintenance
308,,,,,1,Maintenance
309,121.9758064516129,122.24032258064516,122.23870967741935,122.22419354838709,12,OK
310,122.08351648351649,122.27362637362637,122.27912087912088,122.2686813186813,17,OK
311,122.06758241758241,122.27417582417581,122.27802197802197,122.26758241758242,17,OK
312,122.03351648351648,122.27417582417581,122.27802197802197,122.27142857142856,17,OK
313,122.0535519125683,122.28415300546447,122.28087431693987,122.27267759562841,17,OK
314,122.0554945054945,122.27857142857144,122.27967032967032,122.27032967032967,17,OK
315,122.04395604395604,122.27912087912088,122.27967032967032,122.27527472527471,17,OK
316,,,,,2,Maintenance
317,121.98548387096774,122.25,122.24516129032257,122.22258064516129,12,OK
318,122.04450549450549,122.28461538461538,122.27967032967032,122.27252747252747,17,OK
319,122.02307692307693,122.27472527472527,122.27527472527471,122.26923076923077,17,OK
320,122.04395604395604,122.27417582417581,122.27527472527471,122.26593406593405,17,OK
321,,,,,2,Maintenance
322,,,,,1,Maintenance
323,122.00322580645161,122.24354838709677,122.24032258064516,122.22419354838709,12,OK
324,121.59065934065934,121.77637362637363,121.77692307692307,121.77472527472527,8,OK
325,122.05164835164834,122.27252747252747,122.27802197802197,122.27362637362637,17,OK
326,122.14065934065933,122.40384615384616,122.3912087912088,122.38791208791208,17,OK
327,122.06868131868131,122.29120879120879,122.27747252747253,122.26978021978022,17,OK
328,122.03571428571429,122.27087912087912,122.27527472527471,122.26153846153845,17,OK
329,122.0478021978022,122.27307692307693,122.27692307692307,122.26758241758242,17,OK
