DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
153,2.076774193548387,121.53387096774192,121.79032258064515,121.7467741935484,121.78870967741936,12,1
154,2.0760483870967743,121.56693548387096,121.79435483870968,121.76129032258063,121.84758064516129,11,1
155,2.1087096774193546,122.02741935483871,122.3016129032258,122.22419354838708,122.26451612903226,12,1
156,2.1083870967741936,122.0241935483871,122.24516129032256,122.22741935483872,122.26451612903226,12,1
157,2.108548387096774,122.01774193548388,122.24354838709678,122.22419354838708,122.25,12,1
158,2.12,121.2,121.6,121.6,121.7,11,0
159,2.102,121.8,122.0,121.97,122.02,11,0
160,2.1,121.77777777777776,122.0,121.96666666666668,122.02222222222224,11,0
161,2.109186991869919,122.069918699187,122.28536585365852,122.26666666666668,122.30650406504066,11,1
162,2.105,121.8,122.025,122.0,122.025,5,0
163,2.0,96.68571429,118.6714286,118.5,118.6,2,0
164,2.0,96.68571429,118.6714286,118.5,118.6,2,0
165,3.15,27.0,27.2,27.4,27.3,2,0
166,2.109508196721311,122.10109289617486,122.32295081967212,122.27978142076503,122.33497267759564,5,1
167,0.08,19.7,19.7,19.8,19.8,1,0
168,2.1087096774193546,122.0467741935484,122.26129032258063,122.22741935483872,122.26774193548388,12,1
169,2.1094505494505493,122.0978021978022,122.30329670329672,122.27747252747253,122.31923076923076,5,1
170,2.108406593406593,122.08736263736265,122.3,122.27472527472528,122.3120879120879,5,1
171,2.1082417582417583,122.08351648351648,122.29725274725274,122.2714285714286,122.31043956043956,5,1
172,2.1090109890109887,122.07912087912086,122.27967032967032,122.26978021978022,122.28736263736263,17,1
173,2.108901098901099,122.07802197802198,122.27802197802195,122.26978021978022,122.2956043956044,17,1
174,2.1090109890109887,122.07747252747252,122.27637362637364,122.27362637362636,122.29615384615386,17,1
175,0.08,19.7,19.7,19.8,19.8,1,0
176,2.107903225806452,122.0258064516129,122.3048387096774,122.2532258064516,122.27903225806452,12,1
177,2.1074175824175825,122.07142857142856,122.25989010989012,122.25604395604395,122.27362637362636,17,1
178,2.1090659340659337,122.09670329670328,122.27582417582418,122.27252747252749,122.29725274725274,17,1
179,2.109120879120879,122.09945054945054,122.2741758241758,122.27252747252749,122.28846153846152,17,1
180,2.1090659340659337,122.07472527472528,122.28626373626372,122.2741758241758,122.2978021978022,17,1
181,2.109175824175824,122.07802197802198,122.29010989010987,122.2741758241758,122.31043956043956,17,1
182,2.109071038251366,122.07486338797814,122.2775956284153,122.27431693989072,122.30382513661202,17,1
183,0.08,19.7,19.7,19.8,19.8,1,0
184,2.1074193548387097,122.02741935483871,122.28064516129032,122.24354838709678,122.2741935483871,12,1
185,2.109071038251366,122.07540983606556,122.3016393442623,122.27540983606556,122.31475409836064,17,1
186,2.109175824175824,122.07417582417582,122.28736263736263,122.27252747252749,122.31373626373626,17,1
187,2.109230769230769,122.07692307692308,122.28846153846152,122.27637362637364,122.30989010989012,17,1
188,2.109175824175824,122.07362637362635,122.28351648351648,122.26813186813186,122.28461538461538,17,1
189,2.1095054945054947,122.02252747252749,122.28186813186812,122.26978021978022,122.28516483516482,17,1
190,2.1094535519125683,122.01803278688524,122.28196721311474,122.27103825136612,122.28469945355192,17,1
191,0.08,19.7,19.7,19.8,19.8,1,0
192,2.11,121.8,122.09032258064516,122.0548387096774,122.08387096774192,12,1
193,2.1092857142857144,122.0434065934066,122.28186813186812,122.26758241758242,122.28241758241757,17,1
194,2.109120879120879,122.04505494505494,122.28076923076922,122.26593406593408,122.28571428571428,17,1
195,2.1,121.74,121.98,121.96,121.98,17,0
196,2.0,96.68571429,118.6714286,118.5,118.6,2,0
197,2.0,96.68571429,118.6714286,118.5,118.6,2,0
198,2.0,96.68571429,118.6714286,118.5,118.6,2,0
199,2.0,96.68571429,118.6714286,118.5,118.6,2,0
200,2.0,96.68571429,118.6714286,118.5,118.6,2,0
201,2.0,96.68571429,118.6714286,118.5,118.6,2,0
202,3.15,27.0,27.2,27.4,27.3,2,0
203,2.0,96.68571429,118.6714286,118.5,118.6,2,0
204,2.0,96.68571429,118.6714286,118.5,118.6,2,0
205,2.0,96.68571429,118.6714286,118.5,118.6,2,0
206,3.15,27.0,27.2,27.4,27.3,2,0
207,2.0,96.68571429,118.6714286,118.5,118.6,2,0
208,3.15,27.0,27.2,27.4,27.3,2,0
209,3.15,27.0,27.2,27.4,27.3,2,0
210,0.08,19.7,19.7,19.8,19.8,1,0
